,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2015-01-02,65.18667867086096,65.91506099300325,64.28907337829132,64.75259399414062,1532820,0.0,0
1,2015-01-05,64.14192210286794,64.17871141050189,62.20692464509118,62.596866607666016,2308143,0.0,0
2,2015-01-06,63.12658741798499,64.0977654268805,62.20691106057413,63.148658752441406,1841589,0.0,0
3,2015-01-07,63.568045940238456,64.04627888154134,62.73665472455887,63.48711395263672,1239393,0.0,0
4,2015-01-08,64.39206810808265,66.12106443893404,63.92119418363035,65.76790618896484,1837539,0.0,0
5,2015-01-09,65.48096545760615,66.25349594707282,64.36264132636673,64.86294555664062,1976705,0.0,0
6,2015-01-12,64.74523201577894,65.60604795789713,64.10513508757646,65.22346496582031,1932427,0.0,0
7,2015-01-13,65.22346461785435,67.2099637988,65.17931632469838,66.68022918701172,1693734,0.0,0
8,2015-01-14,65.48097102823752,66.5698705443843,65.16460206727855,65.31910705566406,2081147,0.0,0
9,2015-01-15,65.9812797025649,67.16582363913284,63.921201826813544,67.00395965576172,2373034,0.0,0
10,2015-01-16,66.73172532554693,69.15967355744195,66.45214568725851,68.85801696777344,2767649,0.0,0
11,2015-01-19,69.19645855272876,69.97634238844603,68.68143637121428,69.321533203125,1510553,0.0,0
12,2015-01-20,69.49075881460033,70.19707535424298,69.4024734570902,69.7041244506836,1851296,0.0,0
13,2015-01-21,69.520186530804,70.07935143152424,68.90952558230774,69.83655548095703,2118747,0.0,0
14,2015-01-22,70.13822176368808,72.49259175516984,69.95428643268917,72.132080078125,3261028,0.0,0
15,2015-01-23,73.03702241297518,76.00206400005563,72.95609604965199,75.63419342041016,3804962,0.0,0
16,2015-01-26,75.33989126516965,77.65747689904154,75.22952897531685,77.43675231933594,2068695,0.0,0
17,2015-01-27,75.81813908881718,76.99532398217308,74.49380257550408,75.04560852050781,2657376,0.0,0
18,2015-01-28,75.7813464334948,76.2595793540281,74.56737228545185,75.85491943359375,1465512,0.0,0
19,2015-01-29,75.19275429837477,75.96528486433313,74.45701304060883,75.74456024169922,1402025,0.0,0
20,2015-01-30,76.44350840101303,76.51708139508715,75.37668034052959,76.07563781738281,1644077,0.0,0
21,2015-02-02,76.25959086540877,76.99533220397853,75.59742253804379,76.70103454589844,1109509,0.0,0
22,2015-02-03,77.28961307729257,79.57040960889256,76.88495318365366,78.20928955078125,1987805,0.0,0
23,2015-02-04,77.8414180033763,78.466796875,76.99531453552794,78.466796875,1334047,0.0,0
24,2015-02-05,77.87820169390731,79.7175546182474,77.6942664014733,78.466796875,1389057,0.0,0
25,2015-02-06,78.54037963325068,78.87146095548717,77.84142768041347,78.61395263671875,943311,0.0,0
26,2015-02-09,77.62071440161729,77.80464974380122,74.6409596129332,75.41349029541016,1964708,0.0,0
27,2015-02-10,75.59741133980187,77.69427272146552,75.37668672562249,77.0321044921875,1595601,0.0,0
28,2015-02-11,76.99532667392974,77.25283500128191,76.07565006677163,76.84817504882812,859053,0.0,0
29,2015-02-12,77.06890017376715,79.0921887224818,77.06890017376715,78.50359344482422,1288502,0.0,0
30,2015-02-13,79.2761150522571,79.42326104834943,78.65073614897481,79.31290435791016,1154337,0.0,0
31,2015-02-16,78.83466782510376,79.05538680909136,78.06213734799798,78.43000793457031,726571,0.0,0
32,2015-02-17,78.09893873571723,78.68752839734594,76.81139148349996,78.5403823852539,989415,0.0,0
33,2015-02-18,79.09218711414556,80.0118637084961,78.90825179527546,80.0118637084961,952729,0.0,0
34,2015-02-19,79.7175640966486,80.67402997633289,79.34969346804084,80.5268783569336,1029587,0.0,0
35,2015-02-20,80.52687816184049,81.81442535884828,80.19579684219974,81.74085235595703,2282118,0.0,0
36,2015-02-23,82.73409741679548,83.10196802445266,81.59370190101423,82.1455078125,1213324,0.0,0
37,2015-02-24,81.96157306611768,82.18229206425715,80.6372366242406,81.4097671508789,1396309,0.0,0
38,2015-02-25,81.52013002113551,81.66727602091422,80.26936656997628,80.67402648925781,1316753,0.0,0
39,2015-02-26,80.71080811628573,82.43980444235162,80.6740244239128,82.40301513671875,1319509,0.0,0
40,2015-02-27,82.32944159906108,83.13875579833984,81.26261348856008,83.13875579833984,1761239,0.0,0
41,2015-03-02,83.50662798657066,84.49987750516863,82.9180327686741,84.02164459228516,1501878,0.0,0
42,2015-03-03,84.02164410655324,84.42630401817529,81.6304851692193,81.66727447509766,1388578,0.0,0
43,2015-03-04,82.32944159906108,83.28590179338693,81.37297579147534,83.13875579833984,1947448,0.0,0
44,2015-03-05,83.91128169876467,84.389508963043,83.24911353088596,84.24236297607422,1341334,0.0,0
45,2015-03-06,84.57345682878511,85.56671203492213,84.13201318898001,84.83097076416016,1314922,0.0,0
46,2015-03-09,84.6102366793672,84.75738267176654,83.87449549085096,84.13200378417969,1375639,0.0,0
47,2015-03-10,84.1320186854575,84.5734623541028,82.5869630385685,83.6537857055664,1559777,0.0,0
48,2015-03-11,83.7273542610975,88.03143933609391,83.7273542610975,87.81071472167969,2282116,0.0,0
49,2015-03-12,87.70034948554208,87.73713879113583,85.60348817167635,87.22212219238281,2214793,0.0,0
50,2015-03-13,88.06822380943193,88.36252142683662,86.22887071722775,88.25215911865234,1479424,0.0,0
51,2015-03-16,88.65681831716837,90.79046900927922,88.54645600988917,90.20187377929688,2002769,0.0,0
52,2015-03-17,90.71690356734591,91.04798490350898,88.36252806451094,89.02469635009766,2158329,0.0,0
53,2015-03-18,89.20862987200852,89.53971120148704,83.65378098312772,85.27241516113281,4162275,0.0,0
54,2015-03-19,84.8677532343964,86.11851674458913,84.02164966258434,85.78742980957031,2544757,0.0,0
55,2015-03-20,86.00814366993261,87.07496611832899,85.41954849017345,85.89778137207031,2984667,0.0,0
56,2015-03-23,85.86099362710982,85.86099362710982,83.43305109635989,83.69055938720703,1697260,0.0,0
